system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:gliner2-vladlinv-ru,alexen2,False,contacts,690,690,11877,690,59,59,59,11246
model:gliner2-vladlinv-ru,alexen2,False,names,571,571,7577,571,273,273,273,7268
model:gliner2-vladlinv,alexen2,False,contacts,690,690,11877,690,59,59,59,11246
model:gliner2-vladlinv,alexen2,False,names,571,571,7577,571,273,273,273,7268
model:ru-pii-ner,alexen2,False,contacts,690,690,11877,690,59,59,59,11246
model:ru-pii-ner,alexen2,False,names,571,571,7577,571,273,273,273,7268
model:gliner2-fastino,alexen2,False,contacts,690,690,11877,690,56,56,56,11186
model:gliner2-fastino,alexen2,False,names,571,571,7577,568,294,294,294,7282
model:gliner2-fastino-ru,alexen2,False,contacts,690,690,11877,689,55,55,55,11189
model:gliner2-fastino-ru,alexen2,False,names,571,571,7577,568,290,290,290,7258
model:gliner2-hivetrace-omni,alexen2,False,contacts,690,690,11877,689,57,57,57,11206
model:gliner2-hivetrace-omni,alexen2,False,names,571,571,7577,567,292,292,292,7273
model:gliner2-hivetrace-omni-ru,alexen2,False,contacts,690,690,11877,689,57,57,57,11206
model:gliner2-hivetrace-omni-ru,alexen2,False,names,571,571,7577,567,292,292,292,7273
model:gliner25-fastino,alexen2,False,contacts,690,690,11877,690,53,53,53,11117
model:gliner25-fastino,alexen2,False,names,571,571,7577,566,287,287,287,7239
model:gliner-urchade,alexen2,False,contacts,690,690,11877,686,59,59,59,11165
model:gliner-urchade,alexen2,False,names,571,571,7577,568,294,294,294,7286
model:gliner25-fastino-ru,alexen2,False,contacts,690,690,11877,690,55,55,55,11167
model:gliner25-fastino-ru,alexen2,False,names,571,571,7577,563,287,287,287,7234
model:nuner-zero,alexen2,False,contacts,690,690,11877,690,59,39,39,11245
model:nuner-zero,alexen2,False,names,571,571,7577,561,293,82,82,7236
model:nym-base,alexen2,False,contacts,690,690,11877,689,59,59,59,10404
model:nym-base,alexen2,False,names,571,571,7577,557,90,293,293,6798
model:gliner-nvidia,alexen2,False,contacts,690,690,11877,690,59,59,59,11246
model:gliner-nvidia,alexen2,False,names,571,571,7577,553,275,270,270,6856
model:mmbert32k,alexen2,False,contacts,690,690,11877,690,43,40,40,10966
