system,dataset,train,char_tp,char_fp,char_fn,positive_rows,residual_rows,raw_residual_rows,raw_original_residual_rows,negative_rows,negative_rows_touched,negative_characters,negative_characters_masked,gold,original_gold,hit,hidden,raw_hidden,original_hidden,char_precision,char_recall,char_f1
model:gliner2-vladlinv-ru,alexen2,False,18514,0,940,871,676,676,676,40,0,1553,0,1261,1261,1261,332,332,332,1.0,0.9516808882492033,0.9752423093131058
model:gliner2-vladlinv,alexen2,False,18514,15,940,871,676,676,676,40,0,1553,0,1261,1261,1261,332,332,332,0.9991904582006584,0.9516808882492033,0.9748571729457916
model:ru-pii-ner,alexen2,False,18514,142,940,871,676,676,676,40,9,1553,107,1261,1261,1261,332,332,332,0.9923885077186964,0.9516808882492033,0.9716085017055891
model:gliner2-fastino,alexen2,False,18468,198,986,871,667,667,667,40,14,1553,130,1261,1261,1258,350,350,350,0.9893924783027965,0.9493163359720366,0.9689401888772299
model:gliner2-fastino-ru,alexen2,False,18447,71,1007,871,670,670,670,40,7,1553,67,1261,1261,1257,345,345,345,0.9961658926449941,0.9482368664541997,0.9716106604866743
model:gliner2-hivetrace-omni,alexen2,False,18479,196,975,871,669,669,669,40,14,1553,140,1261,1261,1256,349,349,349,0.9895046854082998,0.9498817723861417,0.9692884680951507
model:gliner2-hivetrace-omni-ru,alexen2,False,18479,199,975,871,669,669,669,40,15,1553,139,1261,1261,1256,349,349,349,0.9893457543634222,0.9498817723861417,0.9692122102171405
model:gliner25-fastino,alexen2,False,18356,307,1098,871,673,673,673,40,22,1553,247,1261,1261,1256,340,340,340,0.9835503402454053,0.9435591652102395,0.9631398063856023
model:gliner-urchade,alexen2,False,18451,154,1003,871,667,667,667,40,10,1553,110,1261,1261,1254,353,353,353,0.991722655200215,0.9484424796956924,0.9695998318400378
model:gliner25-fastino-ru,alexen2,False,18401,151,1053,871,674,674,674,40,14,1553,145,1261,1261,1253,342,342,342,0.9918607158257869,0.945872314177033,0.968320791453981
model:nuner-zero,alexen2,False,18481,1102,973,871,668,783,783,40,15,1553,175,1261,1261,1251,352,121,121,0.9437267017310933,0.949984579006888,0.9468453006122396
model:nym-base,alexen2,False,17202,251,2252,871,777,673,673,40,17,1553,201,1261,1261,1246,149,352,352,0.9856185183063084,0.8842397450395806,0.9321808870945891
model:gliner-nvidia,alexen2,False,18102,266,1352,871,683,685,685,40,10,1553,98,1261,1261,1243,334,329,329,0.9855182926829268,0.9305027243754498,0.9572206652212997
model:mmbert32k,alexen2,False,17934,205,1520,871,702,787,787,40,14,1553,126,1261,1261,1240,285,161,161,0.9886983846959589,0.9218669682327542,0.9541137977815018
model:gliner-nvidia-ru,alexen2,False,17691,158,1763,871,703,761,761,40,16,1553,134,1261,1261,1236,296,197,197,0.9911479634713429,0.9093759638120695,0.9485028013832668
model:traciora,alexen2,False,18024,823,1430,871,682,701,701,40,16,1553,191,1261,1261,1220,326,303,303,0.956332572823261,0.9264932661663411,0.9411764705882353
model:opf-ru,alexen2,False,17520,242,1934,871,704,722,722,40,19,1553,178,1261,1261,1207,296,265,265,0.9863754081747551,0.9005859977382543,0.941530524505589
model:pii-shield-onnx,alexen2,False,17646,211,1808,871,712,717,717,40,14,1553,146,1261,1261,1198,288,271,271,0.9881839054712438,0.9070628148452761,0.9458872718501246
model:pplx,alexen2,False,18223,2586,1231,871,424,478,478,40,7,1553,90,1261,1261,1195,701,622,622,0.8757268489595847,0.9367225249306055,0.9051983210391674
model:gliner-pii-base,alexen2,False,17672,282,1782,871,701,701,701,40,16,1553,165,1261,1261,1192,308,308,308,0.9842931937172775,0.9083993009149789,0.9448246364414029
model:ru-legal-ner,alexen2,False,16700,260,2754,871,720,740,740,40,11,1553,106,1261,1261,1187,300,280,280,0.9846698113207547,0.8584352832322402,0.9172296369528204
model:gliner2-large,alexen2,False,17153,566,2301,871,727,727,727,40,10,1553,102,1261,1261,1179,274,274,274,0.9680568880862351,0.8817209828312943,0.922874129072176
model:openmed-nemotron,alexen2,False,16779,1624,2675,871,781,766,766,40,18,1553,250,1261,1261,1177,141,207,207,0.9117535184480792,0.862496144751722,0.8864410809097394
model:bardsai-eu,alexen2,False,16549,285,2905,871,681,692,692,40,13,1553,178,1261,1261,1172,332,317,317,0.9830699774266366,0.8506733833658887,0.912092151675485
model:gliner-pii-edge,alexen2,False,17035,1181,2419,871,716,720,720,40,27,1553,283,1261,1261,1171,277,273,273,0.9351668862538428,0.8756553922072582,0.9044332359968145
model:apararti,alexen2,False,17502,404,1952,871,726,740,740,40,13,1553,174,1261,1261,1168,278,262,262,0.9774377303697085,0.8996607381515369,0.9369379014989292
model:opf-kz-ru,alexen2,False,17521,1033,1933,871,728,744,744,40,17,1553,209,1261,1261,1165,276,259,259,0.9443246739247602,0.9006374010486276,0.9219637970953483
model:opf-ru-v2,alexen2,False,17491,346,1963,871,724,742,742,40,11,1553,159,1261,1261,1161,294,258,258,0.9806021191904468,0.8990953017374319,0.9380815746426752
model:kalyan-ettin,alexen2,False,15604,650,3850,871,788,836,836,40,20,1553,193,1261,1261,1155,179,101,101,0.9600098437307739,0.802097255063226,0.8739778200963368
model:openmed-multilingual,alexen2,False,15948,248,3506,871,830,800,800,40,20,1553,144,1261,1261,1116,89,167,167,0.9846875771795505,0.8197799938316027,0.8946984572230012
model:openai-base,alexen2,False,16926,527,2528,871,753,769,769,40,10,1553,134,1261,1261,1108,263,247,247,0.9698046181172292,0.8700524313765806,0.9172243747798521
model:gliner-multi-v21,alexen2,False,14650,157,4804,871,670,670,670,40,10,1553,95,1261,1261,1104,340,340,340,0.9893969068683731,0.7530584969672047,0.8551997898485159
model:gliner2-hivetrace-uni,alexen2,False,15820,130,3634,871,712,712,712,40,7,1553,70,1261,1261,1101,275,275,275,0.9918495297805643,0.8132003701038347,0.8936843294542991
model:gravitee-small,alexen2,False,15764,9081,3690,871,769,787,787,40,24,1553,630,1261,1261,1083,236,207,207,0.6344938619440531,0.8103217847229361,0.7117090679247838
model:gliner-stream-pii,alexen2,False,15390,432,4064,871,703,705,705,40,38,1553,326,1261,1261,1071,279,276,276,0.9726962457337884,0.7910969466433638,0.8725479079260688
model:gliner-multi-v21-ru,alexen2,False,13904,120,5550,871,673,673,673,40,6,1553,54,1261,1261,1060,337,337,337,0.9914432401597262,0.7147116274288065,0.8306350439094331
model:fef2-secret-ru,alexen2,False,13490,220,5964,871,693,702,702,40,16,1553,137,1261,1261,926,280,267,267,0.9839533187454412,0.6934306569343066,0.8135327463514654
