composition,members,votes,dataset,lang,kind,status,missed,gold_spans
gitleaks,gitleaks,1,alexen2,ru,pii,missing,,1261
gitleaks,gitleaks,1,alrosait,ru,pii,ok,1862,1862
gitleaks,gitleaks,1,ameau01,en,pii,missing,,2242
gitleaks,gitleaks,1,arthur-passwords,en,secrets,missing,,280
gitleaks,gitleaks,1,corrupt-hivetrace,ru,pii,missing,,1667
gitleaks,gitleaks,1,corrupt-redmadrobot,ru,pii,missing,,5531
gitleaks,gitleaks,1,corrupt-secrets-issues,en,secrets,missing,,288
gitleaks,gitleaks,1,creddata,en,secrets,missing,,776
gitleaks,gitleaks,1,dialogpii-en,en,pii,missing,,3087
gitleaks,gitleaks,1,dialogpii-multi,multi,pii,missing,,10345
gitleaks,gitleaks,1,factrueval,ru,pii,missing,,7966
gitleaks,gitleaks,1,gretel-multi,multi,pii,missing,,4484
gitleaks,gitleaks,1,hivetrace,ru,pii,ok,1650,1667
gitleaks,gitleaks,1,jayguard,ru,pii,ok,1195,1195
gitleaks,gitleaks,1,kiji-en,en,pii,missing,,7623
gitleaks,gitleaks,1,kiji-multi,multi,pii,missing,,7565
gitleaks,gitleaks,1,leak-museum,en,secrets,missing,,101
gitleaks,gitleaks,1,leaky-repo,en,secrets,ok,73,95
gitleaks,gitleaks,1,multiconer-ru,ru,pii,missing,,1208
gitleaks,gitleaks,1,nemotron-pii,en,pii,missing,,9391
gitleaks,gitleaks,1,nerel,ru,pii,missing,,24369
gitleaks,gitleaks,1,nym-en,en,pii,missing,,3584
gitleaks,gitleaks,1,nym-multi,multi,pii,missing,,8169
gitleaks,gitleaks,1,nym-ru,ru,pii,ok,9497,9497
gitleaks,gitleaks,1,privy,en,pii,missing,,1899
gitleaks,gitleaks,1,redact-multi,multi,pii,missing,,22864
gitleaks,gitleaks,1,redact-ru,ru,pii,missing,,9230
gitleaks,gitleaks,1,redmadrobot,ru,pii,ok,5516,5516
gitleaks,gitleaks,1,rubai-ru,ru,pii,missing,,3458
gitleaks,gitleaks,1,russian-pii-66k,ru,pii,ok,4805,4805
gitleaks,gitleaks,1,scanpatch,ru,pii,ok,8708,8708
gitleaks,gitleaks,1,secrets-issues,en,secrets,ok,130,288
gitleaks,gitleaks,1,secrets-rules,en,secrets,train,,746
gitleaks,gitleaks,1,synth-env-configs,en,secrets,missing,,392
gitleaks,gitleaks,1,synth-jira-comments,ru,pii,missing,,2705
gitleaks,gitleaks,1,synth-ru-tickets,ru,pii,missing,,32099
gitleaks,gitleaks,1,synth-secrets-en,en,secrets,missing,,581
gitleaks,gitleaks,1,synth-secrets-ru,ru,secrets,missing,,581
gitleaks,gitleaks,1,synth-wiki-tables,ru,pii,missing,,13094
gitleaks,gitleaks,1,tab-echr,en,pii,missing,,3830
gitleaks,gitleaks,1,tonicai,en,pii,missing,,2417
pplx,pplx,1,alexen2,ru,pii,ok,66,1261
pplx,pplx,1,alrosait,ru,pii,ok,10,1862
pplx,pplx,1,ameau01,en,pii,ok,393,2242
