system,dataset,train,label,group,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:gliner2-vladlinv-ru,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5482
model:gliner2-vladlinv-ru,alexen2,False,PER,PERSON,names,571,571,7577,571,273,273,273,7268
model:gliner2-vladlinv-ru,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner2-vladlinv,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5482
model:gliner2-vladlinv,alexen2,False,PER,PERSON,names,571,571,7577,571,273,273,273,7268
model:gliner2-vladlinv,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:ru-pii-ner,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5482
model:ru-pii-ner,alexen2,False,PER,PERSON,names,571,571,7577,571,273,273,273,7268
model:ru-pii-ner,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner2-fastino,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,6,6,6,5422
model:gliner2-fastino,alexen2,False,PER,PERSON,names,571,571,7577,568,294,294,294,7282
model:gliner2-fastino,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner2-fastino-ru,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,5,5,5,5425
model:gliner2-fastino-ru,alexen2,False,PER,PERSON,names,571,571,7577,568,290,290,290,7258
model:gliner2-fastino-ru,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner2-hivetrace-omni,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,7,7,7,5442
model:gliner2-hivetrace-omni,alexen2,False,PER,PERSON,names,571,571,7577,567,292,292,292,7273
model:gliner2-hivetrace-omni,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner2-hivetrace-omni-ru,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,7,7,7,5442
model:gliner2-hivetrace-omni-ru,alexen2,False,PER,PERSON,names,571,571,7577,567,292,292,292,7273
model:gliner2-hivetrace-omni-ru,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner25-fastino,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,3,3,3,5353
model:gliner25-fastino,alexen2,False,PER,PERSON,names,571,571,7577,566,287,287,287,7239
model:gliner25-fastino,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner-urchade,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,277,9,9,9,5412
model:gliner-urchade,alexen2,False,PER,PERSON,names,571,571,7577,568,294,294,294,7286
model:gliner-urchade,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,409,50,50,50,5753
model:gliner25-fastino-ru,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,5,5,5,5403
model:gliner25-fastino-ru,alexen2,False,PER,PERSON,names,571,571,7577,563,287,287,287,7234
model:gliner25-fastino-ru,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:nuner-zero,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5482
model:nuner-zero,alexen2,False,PER,PERSON,names,571,571,7577,561,293,82,82,7236
model:nuner-zero,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,30,30,5763
model:nym-base,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,9,9,9,4640
model:nym-base,alexen2,False,PER,PERSON,names,571,571,7577,557,90,293,293,6798
model:nym-base,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:gliner-nvidia,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5482
model:gliner-nvidia,alexen2,False,PER,PERSON,names,571,571,7577,553,275,270,270,6856
model:gliner-nvidia,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:mmbert32k,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,7,7,5400
model:mmbert32k,alexen2,False,PER,PERSON,names,571,571,7577,550,242,121,121,6968
model:mmbert32k,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,34,33,33,5566
model:gliner-nvidia-ru,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5470
model:gliner-nvidia-ru,alexen2,False,PER,PERSON,names,571,571,7577,546,237,138,138,6457
model:gliner-nvidia-ru,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:nym-small,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,9,9,9,5322
model:nym-small,alexen2,False,PER,PERSON,names,571,571,7577,534,70,262,262,6579
model:nym-small,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,409,50,50,50,5753
model:traciora,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,8,8,8,5427
model:traciora,alexen2,False,PER,PERSON,names,571,571,7577,531,269,248,248,6866
model:traciora,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,49,47,47,5731
model:opf-ru,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,266,5,3,3,5133
model:opf-ru,alexen2,False,PER,PERSON,names,571,571,7577,531,241,212,212,6639
model:opf-ru,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5748
model:pii-shield-onnx,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,8,6,6,5437
model:pii-shield-onnx,alexen2,False,PER,PERSON,names,571,571,7577,508,230,215,215,6445
model:pii-shield-onnx,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,50,50,50,5764
model:pplx,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,169,145,145,5642
model:pplx,alexen2,False,PER,PERSON,names,571,571,7577,505,289,234,234,6624
model:pplx,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,243,243,243,5957
model:gliner-pii-base,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,9,9,9,5466
model:gliner-pii-base,alexen2,False,PER,PERSON,names,571,571,7577,512,253,253,253,6579
model:gliner-pii-base,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,401,46,46,46,5627
model:ru-legal-ner,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,277,0,0,0,4263
model:ru-legal-ner,alexen2,False,PER,PERSON,names,571,571,7577,514,253,233,233,6846
model:ru-legal-ner,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,396,47,47,47,5591
model:gliner2-large,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,279,9,9,9,5427
model:gliner2-large,alexen2,False,PER,PERSON,names,571,571,7577,492,218,218,218,5996
model:gliner2-large,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,408,47,47,47,5730
model:openmed-nemotron,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,280,3,2,2,5362
model:openmed-nemotron,alexen2,False,PER,PERSON,names,571,571,7577,510,102,171,171,6175
model:openmed-nemotron,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,387,36,34,34,5242
model:bardsai-eu,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,278,1,0,0,4247
model:bardsai-eu,alexen2,False,PER,PERSON,names,571,571,7577,508,243,231,231,6897
model:bardsai-eu,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,386,88,86,86,5405
model:gliner-pii-edge,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,270,7,7,7,5204
model:gliner-pii-edge,alexen2,False,PER,PERSON,names,571,571,7577,491,221,217,217,6070
model:gliner-pii-edge,alexen2,False,PHONE,CONTACT,contacts,410,410,6124,410,49,49,49,5761
model:apararti,alexen2,False,EMAIL,CONTACT,contacts,280,280,5753,273,8,7,7,5298
