dataset,lang,kind,model,family,variant,missed,gold_spans,missed_pct,missed_ci_low_reported,missed_ci_high_reported,hidden_pct_reported,char_f1_reported,char_precision_reported,char_recall_reported,train,dropped_spans,fp_rows,fp_chars
alexen2,ru,pii,gliner2-vladlinv-ru,gliner2,base,0,1261,0.0,0.0,0.0,26.3,0.975,1.0,0.952,False,0,0/40,0
alexen2,ru,pii,gliner2-vladlinv,gliner2,base,0,1261,0.0,0.0,0.0,26.3,0.975,0.999,0.952,False,0,0/40,0
alexen2,ru,pii,ru-pii-ner,rupii,base,0,1261,0.0,0.0,0.0,26.3,0.972,0.992,0.952,False,0,9/40,107
alexen2,ru,pii,gliner2-fastino,gliner2,base,3,1261,0.23790642347343377,0.0,0.6,27.8,0.969,0.989,0.949,False,0,14/40,130
alexen2,ru,pii,gliner2-fastino-ru,gliner2,base,4,1261,0.317208564631245,0.0,0.6,27.4,0.972,0.996,0.948,False,0,7/40,67
alexen2,ru,pii,gliner2-hivetrace-omni,gliner2,base,5,1261,0.3965107057890563,0.1,0.8,27.7,0.969,0.99,0.95,False,0,14/40,140
alexen2,ru,pii,gliner2-hivetrace-omni-ru,gliner2,base,5,1261,0.3965107057890563,0.1,0.8,27.7,0.969,0.989,0.95,False,0,15/40,139
alexen2,ru,pii,gliner25-fastino,gliner2,base,5,1261,0.3965107057890563,0.1,0.8,27.0,0.963,0.984,0.944,False,0,22/40,247
alexen2,ru,pii,gliner-urchade,gliner,base,7,1261,0.5551149881046789,0.2,1.0,28.0,0.97,0.992,0.948,False,0,10/40,110
alexen2,ru,pii,gliner25-fastino-ru,gliner2,base,8,1261,0.63441712926249,0.2,1.1,27.1,0.968,0.992,0.946,False,0,14/40,145
alexen2,ru,pii,nuner-zero,gliner,base,10,1261,0.7930214115781126,0.3,1.3,27.9,0.947,0.944,0.95,False,0,15/40,175
alexen2,ru,pii,nym-base,hf,base,15,1261,1.189532117367169,0.6,1.8,11.8,0.932,0.986,0.884,False,0,17/40,201
alexen2,ru,pii,gliner-nvidia,gliner,base,18,1261,1.4274385408406027,0.8,2.1,26.5,0.957,0.986,0.931,False,0,10/40,98
alexen2,ru,pii,mmbert32k,hf,base,21,1261,1.6653449643140366,1.0,2.4,22.6,0.954,0.989,0.922,False,0,14/40,126
alexen2,ru,pii,gliner-nvidia-ru,gliner,base,25,1261,1.9825535289452816,1.3,2.8,23.5,0.949,0.991,0.909,False,0,16/40,134
alexen2,ru,pii,nym-small,onnx,base,38,1261,3.013481363996828,2.1,4.0,10.2,0.943,0.981,0.907,False,0,17/40,194
alexen2,ru,pii,traciora,opf,base,41,1261,3.2513877874702617,2.3,4.3,25.9,0.941,0.956,0.926,False,0,16/40,191
alexen2,ru,pii,opf-ru,opf,base,54,1261,4.282315622521808,3.2,5.4,23.5,0.942,0.986,0.901,False,0,19/40,178
alexen2,ru,pii,pii-shield-onnx,onnx,base,63,1261,4.9960348929421095,3.9,6.2,22.8,0.946,0.988,0.907,False,0,14/40,146
alexen2,ru,pii,pplx,pplx,base,66,1261,5.233941316415543,4.0,6.5,55.6,0.905,0.876,0.937,False,0,7/40,90
alexen2,ru,pii,gliner-pii-base,gliner,base,69,1261,5.471847739888977,4.1,6.8,24.4,0.945,0.984,0.908,False,0,16/40,165
alexen2,ru,pii,ru-legal-ner,hf,base,74,1261,5.868358445678033,4.7,7.2,23.8,0.917,0.985,0.858,False,0,11/40,106
alexen2,ru,pii,gliner2-large,gliner2,base,82,1261,6.502775574940523,5.1,7.9,21.7,0.923,0.968,0.882,False,0,10/40,102
alexen2,ru,pii,openmed-nemotron,hf,base,84,1261,6.661379857256146,5.3,8.1,11.2,0.886,0.912,0.862,False,0,18/40,250
alexen2,ru,pii,bardsai-eu,onnx,base,89,1261,7.057890563045202,5.6,8.6,26.3,0.912,0.983,0.851,False,0,13/40,178
alexen2,ru,pii,gliner-pii-edge,gliner,base,90,1261,7.137192704203014,5.7,8.5,22.0,0.904,0.935,0.876,False,0,27/40,283
alexen2,ru,pii,apararti,opf,base,93,1261,7.375099127676448,5.9,8.8,22.0,0.937,0.977,0.9,False,0,13/40,174
