device,model,chars_per_second,rows_per_second,relative_pplx,p50_ms_reported,p95_ms_reported,hardware,threads,workers,quant,variant,rss_mb,datasets
cpu,betterleaks,1934632.0,6427.14,,0.0,0.0,-,-,-,-,-,,9
cpu,titus,174472.0,453.1,,1.0,5.0,-,-,-,-,-,,3
cpu,noseyparker,142288.0,369.51,,2.0,10.0,-,-,-,-,-,,3
cpu,kingfisher,136969.0,355.7,,2.0,11.0,-,-,-,-,-,,3
cpu,credsweeper-noml,52155.0,135.44,,4.0,37.0,-,-,-,-,-,,3
cpu,trufflehog,27652.0,71.81,,12.0,48.0,-,-,-,-,-,,3
cpu,detect-secrets,18599.0,48.3,,12.0,90.0,-,-,-,-,-,,3
cpu,deepsecrets,12516.0,32.5,,24.0,96.0,-,-,-,-,-,,3
cpu,presidio-ru,4846.0,30.66,,23.0,95.0,-,-,-,-,-,,2
cpu,credsweeper,2466.0,6.4,,193.0,219.0,-,-,-,-,-,,3
cpu,ru-legal-ner+cpu,30172.0,80.65,,11.0,23.0,-,1,-,-,cpu,550.0,2
cpu,openai-base-onnx,3152.0,0.91,,938.0,2329.0,AMD EPYC 7713P 64-Core Processor,8,1,-,-,8894.0,3
cpu,gliner-urchade-ru+cpu-int8,843.0,3.88,,230.0,605.0,AMD EPYC 7713P 64-Core Processor,8,1,int8,cpu-int8,3559.0,3
cpu,nym-small,3375.0,6.39,,66.0,572.0,AMD EPYC 7713P 64-Core Processor,8,2,-,-,3986.0,15
cpu,pii-shield-onnx,1167.0,3.8,,224.0,732.0,AMD EPYC 7713P 64-Core Processor,8,2,-,-,3820.0,7
cpu,pii-shield-onnx,1236.0,0.79,,514.0,5031.0,AMD EPYC 7713P 64-Core Processor,8,3,-,-,8601.0,8
cpu,ner-ru-gherman+cpu-int8,5693.0,1.33,,728.0,1230.0,AMD EPYC 7763 64-Core Processor,8,1,int8,cpu-int8,1524.0,1
cpu,gliner-nvidia-ru+cpu-int8,493.0,0.11,,8614.0,15117.0,AMD EPYC 7B13 64-Core Processor,16,1,int8,cpu-int8,3947.0,1
cpu,gliner-pii-edge+cpu-int8,250.0,0.26,,2610.0,10948.0,AMD EPYC 7B13 64-Core Processor,40,1,int8,cpu-int8,4967.0,1
cpu,gliner-urchade-ru+cpu-int8,983.0,0.23,,4308.0,7126.0,AMD EPYC 7B13 64-Core Processor,8,1,int8,cpu-int8,3098.0,1
cpu,ru-legal-ner+cpu-int8,54911.0,85.09,,5.0,50.0,AMD EPYC 9654 96-Core Processor,16,24,int8,cpu-int8,1110.0,9
cpu,ru-legal-ner+cpu-speed,33180.0,500.0,45.67,2.0,4.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,755.0,1
cpu,nym-base+cpu-int8,5230.0,8.1,,45.0,579.0,AMD EPYC 9654 96-Core Processor,16,24,int8,cpu-int8,2627.0,9
cpu,mmbert32k+cpu-int8,5136.0,7.96,,45.0,589.0,AMD EPYC 9654 96-Core Processor,16,24,int8,cpu-int8,2875.0,9
cpu,nym-base+cpu-speed,2998.0,7.54,4.13,73.0,470.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,1790.0,3
cpu,opf-ru+cpu-speed,2808.0,6.33,3.86,136.0,300.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,2949.0,1
cpu,gliner2-vladlinv-ru+cpu-speed,2245.0,0.53,3.09,1837.0,3379.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,3452.0,1
cpu,gliner-nvidia+cpu-speed,1182.0,4.29,1.63,211.0,483.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,4250.0,1
cpu,opf-ru-v2+cpu-speed,1125.0,16.95,1.55,53.0,88.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,2700.0,1
cpu,gliner-nvidia+cpu-int8,932.0,1.44,,370.0,2733.0,AMD EPYC 9654 96-Core Processor,16,24,int8,cpu-int8,4882.0,9
cpu,pplx+cpu-speed,727.0,2.85,1.0,374.0,748.0,AMD EPYC 9654 96-Core Processor,16,24,-,cpu-speed,3959.0,2
cpu,bardsai-eu,615.0,0.95,,594.0,3914.0,AMD EPYC 9654 96-Core Processor,8,36,-,-,2139.0,9
cpu,nym-small,487.0,0.76,,770.0,4487.0,AMD EPYC 9654 96-Core Processor,8,36,-,-,2403.0,9
cpu,pii-shield-onnx,339.0,0.53,,1126.0,6573.0,AMD EPYC 9654 96-Core Processor,8,36,-,-,4222.0,9
cpu,pplx+cpu-int8,218.0,0.34,1.0,145.0,2483.0,AMD EPYC 9654 96-Core Processor,8,36,int8,cpu-int8,4775.0,9
cpu,natasha+cpu-speed,130799.0,83.33,130.02,3.0,49.0,AMD EPYC 9K84 96-Core Processor,16,24,-,cpu-speed,209.0,9
cpu,spacy-alrosait+cpu-speed,53307.0,33.96,52.99,9.0,121.0,AMD EPYC 9K84 96-Core Processor,16,24,-,cpu-speed,1492.0,9
cpu,spacy-ru-lg+cpu-speed,52320.0,33.33,52.01,7.0,128.0,AMD EPYC 9K84 96-Core Processor,16,24,-,cpu-speed,1494.0,9
cpu,ru-legal-ner+cpu-speed,50942.0,28.99,50.64,11.0,134.0,AMD EPYC 9K84 96-Core Processor,16,24,-,cpu-speed,903.0,8
cpu,gravitee-small+cpu-speed,15141.0,9.65,15.05,40.0,485.0,AMD EPYC 9K84 96-Core Processor,16,24,-,cpu-speed,1065.0,9
cpu,gravitee-small+cpu-int8,12174.0,18.87,,16.0,188.0,AMD EPYC 9K84 96-Core Processor,16,24,int8,cpu-int8,1210.0,9
